temp,humidity,wind,rainfall,risk
33,74,1,8,Low
23,95,1,58,High
25,72,6,14,Low
35,71,8,15,Low
32,51,10,3,Low
35,56,4,1,Low
25,58,6,5,Low
30,61,10,1,Low
31,75,4,10,Low
34,74,1,19,Medium
20,97,4,40,Medium
31,57,10,2,Low
24,73,8,8,Low
32,89,8,44,High
24,54,7,1,Low
21,60,6,3,Low
32,54,7,2,Low
24,72,8,20,Medium
25,76,2,13,Low
19,96,1,47,High
32,57,9,1,Low
18,93,10,35,Medium
23,68,1,5,Low
23,55,7,2,Low
22,69,7,2,Low
26,98,3,31,Medium
25,65,9,0,Low
26,55,10,2,Low
35,100,8,56,High
26,62,5,5,Low
20,96,6,22,Medium
32,68,8,3,Low
27,67,10,3,Low
30,68,3,5,Low
28,61,8,2,Low
21,87,10,53,High
34,58,1,1,Low
23,85,3,16,Medium
32,89,5,29,Medium
22,100,7,55,High
23,76,1,14,Low
25,64,3,4,Low
19,55,3,4,Low
32,91,8,59,High
27,65,6,5,Low
25,66,6,1,Low
25,83,10,13,Low
21,86,3,55,High
20,75,9,6,Low
28,97,4,50,High
22,88,1,37,Medium
27,85,5,5,Low
23,95,7,52,High
18,100,6,42,High
33,54,9,3,Low
25,98,5,31,Medium
31,62,1,1,Low
29,67,4,1,Low
20,85,8,9,Low
27,77,5,17,Medium
22,81,7,10,Low
29,79,6,6,Low
19,84,6,14,Low
29,74,9,14,Low
24,50,3,4,Low
24,65,2,3,Low
35,88,5,33,Medium
35,99,10,22,Medium
25,86,8,39,Medium
34,77,8,15,Low
31,68,8,5,Low
21,71,7,20,Medium
19,64,6,4,Low
27,80,10,6,Low
26,87,5,46,High
23,56,2,5,Low
31,87,4,27,Medium
27,80,5,16,Medium
26,56,2,5,Low
25,87,2,35,Medium
18,59,7,1,Low
34,59,5,0,Low
33,90,1,53,High
21,98,7,23,Medium
18,63,8,1,Low
21,99,3,43,High
32,74,6,5,Low
21,79,2,10,Low
32,89,9,45,High
25,59,9,4,Low
27,85,10,8,Low
24,85,5,13,Low
33,52,5,0,Low
28,53,7,5,Low
22,60,7,5,Low
30,92,4,40,Medium
29,60,2,0,Low
32,87,5,34,Medium
32,72,9,14,Low
35,81,5,15,Low
35,72,3,16,Medium
18,83,9,20,Medium
35,77,7,19,Medium
21,64,2,4,Low
19,79,5,15,Low
35,52,9,1,Low
32,75,3,8,Low
20,88,10,28,Medium
32,73,3,15,Low
28,100,9,58,High
22,56,10,2,Low
35,86,5,24,Medium
35,57,7,4,Low
26,99,6,43,High
24,86,2,51,High
21,71,9,12,Low
23,81,9,14,Low
29,68,8,3,Low
21,79,3,20,Medium
25,72,3,10,Low
23,88,1,20,Medium
33,55,8,2,Low
32,53,7,5,Low
25,97,4,42,High
32,100,4,23,Medium
34,53,7,4,Low
31,85,8,8,Low
18,70,10,4,Low
33,52,5,2,Low
25,91,3,40,Medium
29,76,9,10,Low
27,95,5,52,High
29,96,6,35,Medium
26,97,4,51,High
23,80,9,19,Medium
21,80,9,16,Medium
25,98,6,59,High
34,81,3,9,Low
29,58,10,3,Low
18,68,3,4,Low
22,89,8,24,Medium
29,96,5,23,Medium
24,95,10,24,Medium
32,63,7,5,Low
23,58,10,3,Low
27,57,10,2,Low
20,95,4,54,High
32,81,5,6,Low
19,92,8,48,High
19,61,7,4,Low
25,86,9,59,High
28,51,7,4,Low
19,96,2,39,Medium
22,84,6,5,Low
29,88,4,52,High
25,86,4,45,High
27,93,7,32,Medium
19,94,7,54,High
35,74,8,19,Medium
33,85,5,19,Medium
29,83,1,10,Low
25,51,5,3,Low
26,76,8,9,Low
20,99,8,57,High
28,68,4,4,Low
18,79,4,18,Medium
29,66,1,1,Low
28,62,7,4,Low
21,83,9,19,Medium
18,61,6,2,Low
26,51,6,5,Low
28,65,4,5,Low
31,90,2,26,Medium
20,99,1,21,Medium
19,87,10,26,Medium
28,83,5,10,Low
21,67,1,3,Low
25,56,5,5,Low
29,65,10,0,Low
35,68,2,5,Low
30,79,6,17,Medium
20,80,6,11,Low
28,64,3,1,Low
23,79,8,19,Medium
22,53,6,5,Low
32,99,5,60,High
35,71,6,13,Low
23,60,8,1,Low
29,60,8,3,Low
24,77,4,17,Medium
31,52,2,3,Low
24,66,9,0,Low
22,79,1,20,Medium
24,79,1,16,Medium
19,95,2,39,Medium
20,61,5,0,Low
26,51,5,2,Low
24,50,1,3,Low
18,97,4,47,High
22,77,2,8,Low
25,51,7,0,Low
18,98,5,46,High
33,76,8,19,Medium
21,92,10,49,High
35,73,6,15,Low
21,71,6,14,Low
34,77,7,7,Low
25,53,8,5,Low
34,97,3,25,Medium
32,87,6,22,Medium
35,62,8,1,Low
33,95,6,22,Medium
27,72,5,15,Low
28,92,1,48,High
28,54,4,2,Low
32,61,6,3,Low
35,83,5,14,Low
20,81,2,6,Low
30,100,10,50,High
24,64,7,3,Low
29,56,4,2,Low
31,66,2,5,Low
25,65,6,4,Low
30,62,4,2,Low
19,79,1,16,Medium
24,50,4,1,Low
28,92,5,50,High
31,92,4,41,High
23,76,9,19,Medium
22,92,6,23,Medium
21,52,10,5,Low
34,56,8,5,Low
26,68,9,1,Low
23,61,4,3,Low
29,98,4,53,High
19,62,5,3,Low
23,86,5,49,High
34,90,6,22,Medium
23,91,5,60,High
27,88,4,35,Medium
21,92,1,23,Medium
32,90,9,55,High
25,77,7,19,Medium
23,79,7,14,Low
32,58,7,4,Low
31,80,6,12,Low
26,82,10,9,Low
22,63,8,5,Low
24,62,2,3,Low
32,59,3,0,Low
27,60,5,4,Low
21,97,10,49,High
25,60,6,2,Low
28,81,3,19,Medium
20,99,8,30,Medium
31,89,3,30,Medium
28,89,1,37,Medium
35,100,5,52,High
34,99,4,32,Medium
35,69,2,2,Low
28,79,10,15,Low
25,82,5,11,Low
21,97,9,37,Medium
18,79,7,15,Low
23,87,9,25,Medium
18,76,10,9,Low
20,53,9,5,Low
26,72,9,5,Low
34,65,5,3,Low
20,85,7,5,Low
32,83,4,18,Medium
23,71,4,15,Low
30,64,4,0,Low
26,56,1,0,Low
34,93,6,25,Medium
21,96,2,33,Medium
34,66,3,5,Low
24,54,10,2,Low
27,77,8,8,Low
23,54,7,3,Low
26,82,10,7,Low
27,78,5,7,Low
22,66,6,0,Low
32,62,7,5,Low
24,50,9,0,Low
29,82,1,14,Low
27,90,2,52,High
30,81,7,5,Low
26,87,8,55,High
30,70,9,4,Low
33,60,3,0,Low
32,52,5,5,Low
25,80,4,11,Low
32,76,8,12,Low
19,98,4,37,Medium
